date,mktrf,smb,hml,rmw,cma,rf,umd,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
2012/06/17,0.0107,0.001,-0.0003,-0.0024,-0.0042,0.0,-0.0073,0.0001,1.0114,0.2204,-0.378,-0.3406,0.1805
2012/06/24,0.0079,0.0063,0.0018,-0.0027,-0.0005,0.0,-0.0018,0.0001,0.7253,0.5643,-0.2096,-0.4291,0.137
2012/07/01,0.0255,0.003,-0.0061,-0.0029,-0.0058,0.0,-0.0115,0.0001,2.5626,0.5717,-0.4846,0.0771,0.2103
2012/07/08,-0.0099,-0.0034,0.0039,0.0016,0.0065,0.0,0.0107,0.0002,-0.9964,-0.3982,0.8387,0.2494,-0.3471
2012/07/15,0.0162,-0.0029,0.0056,-0.0017,0.0003,0.0,-0.0029,0.0002,1.5266,-0.1027,-0.181,0.2271,-0.0825
2012/07/22,-0.0106,-0.0038,0.0008,0.0003,0.0033,0.0,0.0029,0.0002,-0.9919,-0.5083,0.5294,-0.0426,-0.1364
2012/07/29,0.0196,0.0055,0.0007,-0.0017,-0.0034,0.0,-0.0096,0.0002,1.8921,0.4909,-0.6299,-0.6005,-0.131
2012/08/05,0.0199,0.0063,0.0051,-0.0026,-0.0017,0.0,-0.0075,0.0002,1.9235,0.6984,-0.2241,-0.1688,-0.28
2012/08/12,0.0017,-0.0036,-0.0005,0.0013,0.0007,0.0,-0.0023,0.0002,0.1878,-0.2863,0.0954,-0.1094,0.1718
2012/08/19,0.0027,0.0061,0.0011,0.0003,-0.0016,0.0,0.0008,0.0002,0.2642,0.7046,-0.1377,0.2812,-0.1496
2012/08/26,0.0061,-0.0029,-0.0003,-0.0011,0.0016,0.0,0.0023,0.0002,0.5503,-0.4145,0.1415,-0.2319,0.051
2012/09/02,0.0052,-0.0008,-0.0003,-0.0007,-0.0027,0.0,-0.0042,0.0002,0.5875,-0.0429,-0.4044,-0.1532,-0.2212
